month,vtuber,avg_viewers
2024-11-01,pandochka_7,29
2024-12-01,pandochka_7,29
2025-01-01,pandochka_7,30
2025-02-01,pandochka_7,28
2025-03-01,pandochka_7,31
2025-04-01,pandochka_7,24
2025-05-01,pandochka_7,25
2025-06-01,pandochka_7,24
2025-07-01,pandochka_7,30
2025-08-01,pandochka_7,29
2025-09-01,pandochka_7,20
2025-10-01,pandochka_7,18
2025-11-01,pandochka_7,18
2025-12-01,pandochka_7,24
2026-01-01,pandochka_7,25
2026-02-01,pandochka_7,21
2026-03-01,pandochka_7,24
2026-04-01,pandochka_7,27
2026-05-01,pandochka_7,30
2022-09-01,petlyusha,7
2022-10-01,petlyusha,8
2022-11-01,petlyusha,9
2022-12-01,petlyusha,8
2023-01-01,petlyusha,8
2023-02-01,petlyusha,8
2023-03-01,petlyusha,10
2023-04-01,petlyusha,9
2023-05-01,petlyusha,7
2023-06-01,petlyusha,11
2023-07-01,petlyusha,11
2023-08-01,petlyusha,10
2023-09-01,petlyusha,12
2023-10-01,petlyusha,11
2023-11-01,petlyusha,9
2023-12-01,petlyusha,10
2024-01-01,petlyusha,10
2024-02-01,petlyusha,9
2024-03-01,petlyusha,13
2024-04-01,petlyusha,15
2024-05-01,petlyusha,13
2024-06-01,petlyusha,16
2024-07-01,petlyusha,16
2024-08-01,petlyusha,10
2024-09-01,petlyusha,12
2024-10-01,petlyusha,11
2024-11-01,petlyusha,12
2024-12-01,petlyusha,15
2025-01-01,petlyusha,14
2025-02-01,petlyusha,16
2025-03-01,petlyusha,15
2025-04-01,petlyusha,14
2025-05-01,petlyusha,15
2025-06-01,petlyusha,14
2025-07-01,petlyusha,13
2025-08-01,petlyusha,16
2025-09-01,petlyusha,16
2025-10-01,petlyusha,15
2025-11-01,petlyusha,15
2025-12-01,petlyusha,16
2026-01-01,petlyusha,23
2026-02-01,petlyusha,15
2026-03-01,petlyusha,15
2026-04-01,petlyusha,17
2026-05-01,petlyusha,16
2026-06-01,petlyusha,17
2022-02-01,holographicvt,18
2022-03-01,holographicvt,14
2022-04-01,holographicvt,16
2022-05-01,holographicvt,21
2022-06-01,holographicvt,14
2022-07-01,holographicvt,20
2022-08-01,holographicvt,31
2022-09-01,holographicvt,29
2022-10-01,holographicvt,24
2022-11-01,holographicvt,24
2022-12-01,holographicvt,31
2023-01-01,holographicvt,28
2023-02-01,holographicvt,35
2023-03-01,holographicvt,25
2023-04-01,holographicvt,29
2023-05-01,holographicvt,16
2023-06-01,holographicvt,30
2023-07-01,holographicvt,22
2023-08-01,holographicvt,24
2023-09-01,holographicvt,17
2023-10-01,holographicvt,17
2023-11-01,holographicvt,19
2023-12-01,holographicvt,17
2024-03-01,holographicvt,24
2024-04-01,holographicvt,22
2024-05-01,holographicvt,28
2024-06-01,holographicvt,38
2024-07-01,holographicvt,27
2024-11-01,holographicvt,21
2024-12-01,holographicvt,37
2025-01-01,holographicvt,33
2025-03-01,holographicvt,30
2025-04-01,holographicvt,37
2025-06-01,holographicvt,27
2025-07-01,holographicvt,14
2025-08-01,holographicvt,17
2025-09-01,holographicvt,20
2025-10-01,holographicvt,26
2025-11-01,holographicvt,23
2025-12-01,holographicvt,28
2026-01-01,holographicvt,23
2026-02-01,holographicvt,25
2026-03-01,holographicvt,30
2026-04-01,holographicvt,38
2026-05-01,holographicvt,37
2026-06-01,holographicvt,23
2018-10-01,tomoesin,6
2018-12-01,tomoesin,6
2019-02-01,tomoesin,6
2019-03-01,tomoesin,5
2019-04-01,tomoesin,5
2019-05-01,tomoesin,6
2019-06-01,tomoesin,9
2019-07-01,tomoesin,9
2019-08-01,tomoesin,8
2019-09-01,tomoesin,7
2019-10-01,tomoesin,6
2019-11-01,tomoesin,7
2019-12-01,tomoesin,7
2020-04-01,tomoesin,6
2020-05-01,tomoesin,8
2020-06-01,tomoesin,7
2020-10-01,tomoesin,6
2020-11-01,tomoesin,7
2020-12-01,tomoesin,6
2021-09-01,tomoesin,7
2021-10-01,tomoesin,8
2021-11-01,tomoesin,9
2021-12-01,tomoesin,10
2022-01-01,tomoesin,6
2022-02-01,tomoesin,9
2022-04-01,tomoesin,11
2022-05-01,tomoesin,9
2022-06-01,tomoesin,11
2022-09-01,tomoesin,7
2022-10-01,tomoesin,10
2023-05-01,tomoesin,6
2023-06-01,tomoesin,6
2023-07-01,tomoesin,6
2023-11-01,tomoesin,8
2023-12-01,tomoesin,7
2024-01-01,tomoesin,14
2024-02-01,tomoesin,18
2024-03-01,tomoesin,31
2024-04-01,tomoesin,38
2024-05-01,tomoesin,35
2024-06-01,tomoesin,44
2024-07-01,tomoesin,42
2024-08-01,tomoesin,65
2024-09-01,tomoesin,74
2024-10-01,tomoesin,72
2024-11-01,tomoesin,66
2024-12-01,tomoesin,76
2025-01-01,tomoesin,71
2025-02-01,tomoesin,75
2025-03-01,tomoesin,63
2025-04-01,tomoesin,75
2025-05-01,tomoesin,64
2025-06-01,tomoesin,64
2025-07-01,tomoesin,67
2025-09-01,tomoesin,47
2025-10-01,tomoesin,59
2025-11-01,tomoesin,50
2025-12-01,tomoesin,38
2023-09-01,fluffypaww,17
2023-10-01,fluffypaww,22
2023-11-01,fluffypaww,29
2023-12-01,fluffypaww,31
2024-01-01,fluffypaww,26
2024-02-01,fluffypaww,31
2024-03-01,fluffypaww,31
2024-04-01,fluffypaww,33
2024-05-01,fluffypaww,41
2024-06-01,fluffypaww,41
2024-07-01,fluffypaww,36
2024-08-01,fluffypaww,44
2024-09-01,fluffypaww,73
2024-10-01,fluffypaww,84
2024-11-01,fluffypaww,77
2024-12-01,fluffypaww,87
2025-01-01,fluffypaww,91
2025-02-01,fluffypaww,78
2025-03-01,fluffypaww,77
2025-04-01,fluffypaww,75
2025-05-01,fluffypaww,92
2025-06-01,fluffypaww,79
2025-07-01,fluffypaww,86
2025-08-01,fluffypaww,77
2025-09-01,fluffypaww,73
2025-10-01,fluffypaww,64
2025-11-01,fluffypaww,74
2025-12-01,fluffypaww,108
2026-01-01,fluffypaww,115
2026-02-01,fluffypaww,148
2026-03-01,fluffypaww,138
2026-04-01,fluffypaww,143
2026-05-01,fluffypaww,128
2026-06-01,fluffypaww,132
2023-11-01,jay_ho_kaino,6
2023-12-01,jay_ho_kaino,6
2024-01-01,jay_ho_kaino,7
2024-02-01,jay_ho_kaino,12
2024-03-01,jay_ho_kaino,16
2024-04-01,jay_ho_kaino,18
2024-05-01,jay_ho_kaino,15
2024-06-01,jay_ho_kaino,18
2024-07-01,jay_ho_kaino,13
2024-08-01,jay_ho_kaino,13
2024-09-01,jay_ho_kaino,11
2024-10-01,jay_ho_kaino,16
2024-11-01,jay_ho_kaino,12
2024-12-01,jay_ho_kaino,15
2025-01-01,jay_ho_kaino,15
2025-02-01,jay_ho_kaino,16
2025-03-01,jay_ho_kaino,13
2025-04-01,jay_ho_kaino,14
2025-05-01,jay_ho_kaino,15
2025-06-01,jay_ho_kaino,68
2025-07-01,jay_ho_kaino,16
2025-08-01,jay_ho_kaino,15
2025-09-01,jay_ho_kaino,15
2025-10-01,jay_ho_kaino,17
2025-11-01,jay_ho_kaino,16
2025-12-01,jay_ho_kaino,13
2026-01-01,jay_ho_kaino,59
2026-02-01,jay_ho_kaino,33
2026-03-01,jay_ho_kaino,20
2026-04-01,jay_ho_kaino,17
2026-05-01,jay_ho_kaino,13
2026-06-01,jay_ho_kaino,10
2024-02-01,d_e_l_y,8
2024-03-01,d_e_l_y,5
2024-04-01,d_e_l_y,7
2024-05-01,d_e_l_y,10
2024-06-01,d_e_l_y,14
2024-07-01,d_e_l_y,12
2024-08-01,d_e_l_y,14
2024-09-01,d_e_l_y,14
2024-10-01,d_e_l_y,17
2024-11-01,d_e_l_y,21
2024-12-01,d_e_l_y,25
2025-01-01,d_e_l_y,27
2025-02-01,d_e_l_y,26
2025-03-01,d_e_l_y,29
2025-04-01,d_e_l_y,28
2025-05-01,d_e_l_y,27
2025-06-01,d_e_l_y,25
2025-07-01,d_e_l_y,23
2025-08-01,d_e_l_y,27
2025-09-01,d_e_l_y,22
2025-10-01,d_e_l_y,19
2025-11-01,d_e_l_y,23
2025-12-01,d_e_l_y,23
2026-01-01,d_e_l_y,37
2026-02-01,d_e_l_y,35
2026-03-01,d_e_l_y,34
2026-04-01,d_e_l_y,39
2026-05-01,d_e_l_y,33
2026-06-01,d_e_l_y,33
2022-01-01,aoihinodevt,25
2022-02-01,aoihinodevt,32
2022-03-01,aoihinodevt,32
2022-04-01,aoihinodevt,35
2022-05-01,aoihinodevt,52
2022-06-01,aoihinodevt,51
2022-07-01,aoihinodevt,46
2022-08-01,aoihinodevt,45
2022-09-01,aoihinodevt,37
2022-10-01,aoihinodevt,29
2023-06-01,aoihinodevt,26
2023-07-01,aoihinodevt,22
2023-08-01,aoihinodevt,17
2023-09-01,aoihinodevt,18
2023-10-01,aoihinodevt,19
2023-11-01,aoihinodevt,18
2023-12-01,aoihinodevt,20
2024-01-01,aoihinodevt,24
2024-02-01,aoihinodevt,18
2024-03-01,aoihinodevt,18
2024-04-01,aoihinodevt,18
2024-05-01,aoihinodevt,20
2024-06-01,aoihinodevt,20
2024-07-01,aoihinodevt,13
2024-08-01,aoihinodevt,14
2024-09-01,aoihinodevt,16
2024-11-01,aoihinodevt,16
2024-12-01,aoihinodevt,14
2025-01-01,aoihinodevt,9
2025-02-01,aoihinodevt,10
2025-05-01,aoihinodevt,14
2025-06-01,aoihinodevt,14
2025-07-01,aoihinodevt,19
2025-08-01,aoihinodevt,18
2025-09-01,aoihinodevt,18
2025-10-01,aoihinodevt,19
2025-11-01,aoihinodevt,21
2025-12-01,aoihinodevt,27
2026-01-01,aoihinodevt,28
2026-02-01,aoihinodevt,29
2026-03-01,aoihinodevt,29
